线路号: 635
线路总服务人次: 2769
驾驶员总数: 44
========================================
驾驶员编号            服务人次
----------------------------------------
9015824           158
9015804           154
5001452           144
9015848           132
9017643           132
9015810           122
9017642           121
9015855           119
9015781           111
9015859           105
9015872            99
90952275           92
9015806            84
9015868            82
9015790            80
9015801            79
9018121            68
9015841            64
9015799            64
9015852            63
9017646            60
9015843            58
9015795            58
9015785            52
9015792            45
9015839            45
9015856            43
90952201           37
9015835            37
9015782            36
9015851            35
5001467            29
9015844            28
9015808            26
9015827            23
9015803            15
9017708            14
9015867            11
5001474            10
9015833             9
9015870             9
9017044             7
9015846             5
90911204            4
